,goal_number,match_api_id,comment,elapsed,event_incident_typefk,goal_type,goal_id,n,player1,player2,sortorder,stats,subtype,team,type,elapsed_plus,del,coordinates
3925,1,1025810,n,6,721,n,2016731,164,46700,26163,5,,tap_in,10261,goal,,,
3926,2,1025810,n,12,393,n,2016807,168,26163,46700,2,,shot,10261,goal,,,
3927,3,1025810,n,34,393,n,2016997,186,46700,26163,1,,shot,10261,goal,,,
3928,4,1025810,n,53,393,n,2017371,204,23293,71502,1,,shot,8659,goal,,,
3929,1,1025815,n,9,393,n,2022312,177,51553,30853,3,,shot,8455,goal,,,
3930,2,1025815,n,51,393,n,2023064,200,31306,41468,1,,shot,8455,goal,,,
3931,3,1025815,n,77,406,n,2023500,244,24751,94812,1,,header,10252,goal,,,
3932,4,1025815,n,80,721,n,2023553,251,94812,139671,1,,tap_in,10252,goal,,,
3933,5,1025815,n,83,406,n,2023613,203,31306,30853,2,,header,8455,goal,,,
3934,6,1025815,n,90,393,n,2023755,227,30853,51553,5,,shot,8455,goal,2,,
3935,1,1025820,n,81,393,n,2029796,315,35327,38994,3,,shot,10260,goal,,,
3936,2,1025820,n,86,393,n,2029800,314,23354,35327,0,,shot,10260,goal,,,
3937,1,1025824,o,18,115,o,2022479,195,32441,,3,,,8659,goal,,,
3938,2,1025824,n,68,393,n,2023407,213,25666,36012,2,,shot,8668,goal,,,
3939,1,1025829,n,2,721,n,2022216,196,30956,38229,2,,tap_in,9879,goal,,,
3940,2,1025829,n,13,393,n,2022385,194,34574,30956,3,,shot,9879,goal,,,
3941,3,1025829,n,77,414,n,2023540,243,23499,35493,0,,deflected,9850,goal,,,
3942,1,1025832,n,31,393,n,2022619,251,35443,33468,0,,shot,8472,goal,,,
3943,2,1025832,p,43,20,p,2022835,261,108808,,1,,,8456,goal,,,
3944,3,1025832,n,45,406,n,2022937,292,36410,33468,2,,header,8472,goal,4,,
3945,4,1025832,n,55,393,n,2023186,274,35443,36410,1,,shot,8472,goal,,,
3946,5,1025832,n,85,393,n,2023699,317,108808,16351,1,,shot,8456,goal,,,
3947,6,1025832,n,86,407,n,2023721,342,16351,37545,1,,distance,8456,goal,,,
3948,1,1025836,n,19,406,n,2025951,192,46700,26163,0,,header,10261,goal,,,
3949,2,1025836,n,59,393,n,2026537,245,46700,26163,0,,shot,10261,goal,,,
3950,1,1025842,n,22,393,n,2022508,186,47394,23311,0,,shot,10172,goal,,,
3951,2,1025842,n,37,393,n,2022722,198,31013,30843,2,,shot,9825,goal,,,
3952,3,1025842,n,66,393,n,2023317,227,192807,32084,0,,shot,10172,goal,,,
3953,1,1025845,n,19,393,n,2027320,200,30840,31921,8,,shot,8586,goal,,,
3954,2,1025845,n,59,393,n,2027777,235,157729,38831,1,,shot,10003,goal,,,
3955,3,1025845,n,73,406,n,2027910,254,30960,30840,4,,header,8586,goal,,,
3956,4,1025845,n,86,406,n,2028038,265,30960,30895,4,,header,8586,goal,,,
3957,1,1025848,n,54,406,n,2023157,240,11736,38254,3,,header,8528,goal,,,
3958,2,1025848,n,90,80,n,2023803,268,106228,,3,,shot,8528,goal,2,,
3959,1,1025851,n,53,393,n,2023120,328,32148,34433,0,,shot,8602,goal,,,
3960,2,1025851,p,63,20,p,2023280,340,33633,,0,,,8559,goal,,,
3961,3,1025851,n,80,411,n,2023582,360,196169,41175,8,,volley,8559,goal,,,
3962,4,1025851,n,84,393,n,2023652,362,23934,38856,11,,shot,8559,goal,,,
3963,5,1025851,n,88,80,n,2023709,367,23538,,0,,shot,8602,goal,,,
3964,1,1025864,n,87,39,n,2044786,368,24011,,0,,distance,9825,goal,,,
3965,1,1025867,n,30,130,n,2038747,236,30956,,0,,direct_freekick,9879,goal,,,
3966,2,1025867,n,45,406,n,2039020,255,30956,34574,0,,header,9879,goal,1,,
3967,3,1025867,n,80,721,n,2039677,291,37259,24130,2,,tap_in,9879,goal,,,
3968,1,1025874,n,62,393,n,2039408,235,31306,25923,2,,shot,8455,goal,,,
3969,2,1025874,n,83,393,n,2039681,252,40015,22991,0,,shot,8528,goal,,,
3970,3,1025874,n,90,721,n,2039803,261,41468,30853,0,,tap_in,8455,goal,3,,
3971,1,1025879,n,10,393,n,2038468,214,110947,161415,2,,shot,10252,goal,,,
3972,2,1025879,n,82,406,n,2039691,278,40636,25984,4,,header,8650,goal,,,
3973,1,1025884,p,15,20,p,2042630,243,30829,,0,,,10260,goal,,,
3974,2,1025884,n,68,407,n,2043212,309,30373,38994,4,,distance,10260,goal,,,
